GroupID	x	y	z	group_mHI	group_R200	mass_select	radius_select
144	24719.068	124971.58	10681.128	66735200000.0	552.8714	1	0
145	153634.77	118572.414	188119.47	30204852000.0	634.3377	1	0
149	121624.33	83246.97	175069.48	53996904000.0	592.8642	1	0
154	101378.67	117636.07	25025.34	63677784000.0	614.68494	1	0
157	51110.95	52233.008	203730.11	40593502000.0	602.4688	1	0
160	57539.195	88406.68	14018.359	68396730000.0	506.89548	1	0
162	59078.355	31325.584	59782.3	72072400000.0	545.95636	1	0
164	187726.98	12482.888	104339.11	30650104000.0	536.6955	1	0
166	185701.02	108094.72	191338.22	96975060000.0	585.9988	1	0
167	167554.45	167921.12	56791.902	62779232000.0	512.54095	1	0
168	23908.898	38758.47	141246.27	70516540000.0	573.1322	1	0
172	16686.826	168725.98	14549.136	50768370000.0	558.9193	1	0
177	171215.77	19877.238	162931.89	110794130000.0	408.4627	1	0
178	145945.6	15996.808	111949.516	18120598000.0	570.0357	1	0
179	81044.81	35194.902	9955.803	46948344000.0	593.14703	1	0
180	142094.6	52969.367	11817.868	54317904000.0	534.5057	1	0
183	99770.414	24687.318	15272.848	48211420000.0	567.0015	1	0
187	56417.535	186777.06	64131.434	42527840000.0	582.62335	1	0
189	20659.236	11057.107	202335.69	76343970000.0	559.65076	1	0
190	83761.1	176819.2	54318.766	46965342000.0	571.4689	1	0
192	198742.11	50283.895	47842.47	79941490000.0	479.6568	1	0
193	55213.13	51990.367	153869.6	72642280000.0	564.23584	1	0
194	166297.89	95387.13	37807.29	51160257000.0	589.2618	1	0
195	2599.2566	5844.858	44842.04	23661386000.0	603.3621	1	0
197	69064.8	172986.52	197149.08	43973860000.0	567.0473	1	0
198	202437.64	118399.45	196153.78	51431707000.0	390.9166	1	0
206	134109.52	78230.2	14091.42	38957134000.0	590.38257	1	0
207	12068.746	125977.625	197129.52	43229800000.0	551.54755	1	0
209	159148.72	103284.17	51548.23	58207412000.0	510.5596	1	0
210	178263.86	106155.4	202773.81	75672080000.0	517.54425	1	0
