GroupID	x	y	z	group_mHI	mass_select	radius_select
251	184420.05	30142.158	190159.81	58660080000.0	1	0
252	161693.72	45093.406	78510.21	37277532000.0	1	0
254	71691.27	97775.95	157408.38	55762354000.0	1	0
256	145489.33	90711.664	64290.17	59852825000.0	1	0
260	83256.32	198361.94	42456.734	45187770000.0	1	0
262	52465.844	188204.56	87042.88	39513547000.0	1	0
263	2208.8933	5782.8657	43765.086	24237388000.0	1	0
265	157946.12	148230.06	4160.898	73904810000.0	1	0
266	56848.31	88628.48	12950.924	64912044000.0	1	0
272	119055.664	93914.125	90504.99	10531131000.0	1	0
273	181556.7	132883.69	52709.074	41018724000.0	1	0
278	202018.98	70846.35	86113.625	120541350000.0	1	0
280	72103.73	50964.17	43804.12	73002310000.0	1	0
285	177482.53	30503.611	152696.4	72549030000.0	1	0
291	90365.234	70963.914	30684.293	41308684000.0	1	0
294	197412.58	15259.91	65332.184	45853594000.0	1	0
295	117099.016	133628.56	177000.14	50986060000.0	1	0
299	11240.206	46192.625	90412.64	75230800000.0	1	0
300	145894.66	61695.496	159589.05	68590158000.0	1	0
302	48712.344	80770.055	36196.73	50700470000.0	1	0
303	22579.936	171912.89	120540.12	49143718000.0	1	0
305	190753.8	189520.56	86519.83	27068228000.0	1	0
307	180551.97	117887.375	204831.34	83990220000.0	1	0
308	158064.89	129175.28	13705.837	83269485000.0	1	0
322	15244.175	13957.558	127704.74	48160730000.0	1	0
329	102561.32	120352.65	85221.766	65606550000.0	1	0
332	200257.5	196210.52	103376.72	74620540000.0	1	0
334	150416.31	72840.914	133656.12	65932673000.0	1	0
337	69330.98	171524.95	197349.28	43896640000.0	1	0
339	100472.34	88408.8	64967.023	48334090000.0	1	0
342	81190.04	17737.957	144291.48	71713350000.0	1	0
345	72899.664	200705.02	77481.64	38333440000.0	1	0
346	23848.797	122544.41	10031.633	41254140000.0	1	0
347	21853.328	107189.086	182467.52	56248033000.0	1	0
348	56902.156	11876.184	70609.9	48520724000.0	1	0
351	126238.336	82411.445	181179.75	62307210000.0	1	0
358	181956.92	40424.42	84947.984	60630690000.0	1	0
362	149244.75	20758.578	77274.96	67090506000.0	1	0
365	164294.02	122960.61	43490.508	123944665000.0	1	0
372	172014.73	53328.758	62360.35	69348155000.0	1	0
376	98911.8	26245.217	15182.442	53275595000.0	1	0
377	33844.016	104707.85	162689.28	70524080000.0	1	0
383	184095.88	138413.16	194331.84	26773938000.0	1	0
387	18877.895	112882.836	137419.73	15259233000.0	1	0
397	151093.12	173762.42	68416.414	32022057000.0	1	0
400	131227.23	55562.004	3290.1306	75396110000.0	1	0
401	30627.104	92994.484	10469.025	40724200000.0	1	0
403	11534.47	51649.773	81545.24	52424700000.0	1	0
418	45637.684	97292.19	35947.61	36913980000.0	1	0
426	32139.723	71460.805	870.2735	101316260000.0	1	0
436	18209.27	198028.19	56540.258	35978850000.0	1	0
439	100250.336	151936.7	123682.586	38449435000.0	1	0
446	139227.55	39985.824	115796.664	41399470000.0	1	0
455	179263.62	105434.766	201613.95	27579367000.0	1	0
472	21095.434	10168.019	201737.72	19796611000.0	1	0
477	37479.758	85887.67	158530.3	46583132000.0	1	0
479	83857.695	120107.4	80000.805	19347170000.0	1	0
486	192142.64	196398.19	48864.586	20026384000.0	1	0
490	34636.95	88211.55	147591.03	32350851000.0	1	0
496	63692.02	13475.913	107127.63	112251650000.0	1	0
504	159917.3	188047.75	157774.2	41708950000.0	1	0
505	60208.734	15135.433	5805.749	75108614000.0	1	0
509	165741.73	24958.982	39699.133	36962650000.0	1	0
514	8360.216	120003.15	189510.94	25286623000.0	1	0
521	185486.1	110688.01	203328.75	22173503000.0	1	0
525	11347.831	175615.66	116568.35	50926936000.0	1	0
530	181628.56	79897.97	11279.538	49736870000.0	1	0
537	151971.03	158442.56	165097.27	108177040000.0	1	0
559	4184.8555	106831.62	21338.264	31160967000.0	1	0
586	49430.53	88103.96	202506.36	17519770000.0	1	0
587	129288.24	174632.73	73256.63	74966550000.0	1	0
595	60707.77	91370.836	103413.64	95419680000.0	1	0
623	24267.826	180194.81	127005.49	36222403000.0	1	0
625	148100.78	194907.14	145380.23	45361607000.0	1	0
626	87806.336	73957.55	86527.28	35898460000.0	1	0
652	108717.74	102678.15	136450.5	44024420000.0	1	0
663	26621.203	181354.81	38638.793	9879838000.0	1	0
668	183317.42	117745.24	16720.277	65256980000.0	1	0
682	120393.37	31789.965	20658.508	72718230000.0	1	0
689	88085.25	201644.83	46491.516	48129147000.0	1	0
707	126725.195	82147.56	10614.599	57453064000.0	1	0
728	154388.94	125282.05	53416.65	53020738000.0	1	0
743	353.50583	103672.39	199211.17	37763342000.0	1	0
827	183876.2	105009.77	197244.27	39807130000.0	1	0
832	52979.023	88714.81	123122.44	37011923000.0	1	0
920	71783.28	82544.89	120500.09	25440209000.0	1	0
936	87651.59	17531.775	105784.84	66889347000.0	1	0
948	162453.61	171955.73	37078.785	83695920000.0	1	0
969	12995.436	92173.625	195165.95	56700410000.0	1	0
974	142684.27	23576.115	122945.19	38696820000.0	1	0
999	181650.44	184364.61	166356.1	40775836000.0	1	0
1197	183926.31	114113.92	188871.08	52857057000.0	1	0
1218	140366.2	62646.77	71916.27	32998724000.0	1	0
1255	61280.703	129689.01	76174.195	5305614300.0	1	0
1281	134163.86	23322.598	142150.16	14585131000.0	1	0
1300	7042.0522	2557.2769	153117.9	46287390000.0	1	0
1340	140113.34	165016.62	176200.19	43210980000.0	1	0
1618	197107.05	57956.285	106606.625	42100930000.0	1	0
1653	118578.74	34707.984	168230.84	29884670000.0	1	0
3710	144903.5	135375.86	74395.31	18109915000.0	1	0
4640	62369.625	23841.715	22513.576	16000159000.0	1	0
12678	38307.793	97784.84	46950.297	11659996000.0	1	0
