GroupID	x	y	z	group_mHI	mass_select	radius_select
0	41507.598	45925.918	149169.4	118034580000.0	1	1
1	58672.344	8871.032	99112.41	118713540000.0	1	1
2	119074.37	66717.06	194927.27	105027210000.0	1	1
3	203659.03	104710.39	189418.67	177876940000.0	1	1
4	78995.0	123565.01	196266.53	158582260000.0	1	1
5	39565.152	98050.33	111711.984	206253420000.0	1	1
6	102045.12	22163.928	138012.4	108351570000.0	1	1
7	50277.625	77217.055	139063.02	52004086000.0	1	1
8	135204.95	33458.066	33628.97	178845680000.0	1	1
9	82856.55	120714.06	197130.31	154374910000.0	0	1
10	55699.62	47933.277	4256.768	222521640000.0	1	1
11	95353.21	104630.8	81770.54	80181700000.0	1	1
12	47758.65	70204.8	142946.02	135892880000.0	0	1
13	44556.71	55245.812	143955.5	113043000000.0	0	1
14	93303.164	31169.617	9067.098	75600620000.0	1	1
15	49788.93	49464.45	61410.566	28407632000.0	1	1
16	44506.73	49661.883	149116.58	57762845000.0	0	1
17	83493.21	142537.92	152710.81	94176985000.0	1	1
18	50285.562	30823.11	176186.39	49426390000.0	1	1
19	175446.22	29495.545	158185.03	88324600000.0	1	1
20	149115.67	179486.72	88304.92	86208995000.0	1	1
21	43992.035	89015.19	82805.3	172430440000.0	1	1
22	170984.16	68724.84	166515.66	66372710000.0	1	1
23	17631.182	140721.83	99413.36	105781510000.0	1	1
24	55338.246	187186.16	65278.43	146433400000.0	1	1
25	52984.992	178206.64	103929.164	142671280000.0	1	1
26	177828.75	79870.07	204927.83	39299250000.0	1	1
27	100383.24	203428.1	33328.477	71174990000.0	1	1
28	81174.0	73894.734	48617.35	62411310000.0	1	1
29	11637.209	124747.03	196447.28	85135340000.0	1	1
30	55452.492	136745.03	53016.875	28692840000.0	1	1
31	202781.97	115374.82	195684.84	133379920000.0	1	1
32	197488.52	116236.26	203829.48	69742290000.0	0	1
33	169017.94	175773.05	104321.56	62015200000.0	1	1
34	47166.1	41363.348	157365.33	125911720000.0	1	1
35	61593.246	45761.387	29693.79	75569684000.0	1	1
36	52852.45	143075.03	80640.516	146456720000.0	1	1
37	105200.67	5206.3174	29447.318	37296325000.0	1	1
38	149672.56	52779.047	160365.7	119090320000.0	1	1
39	145133.6	58954.094	138648.33	170760930000.0	1	1
40	81926.8	35772.53	11993.186	99221360000.0	1	1
41	196971.94	115242.664	200580.33	172862750000.0	1	1
42	148888.73	130995.38	153343.4	51150635000.0	1	1
43	86222.81	192449.25	67262.61	66175115000.0	1	1
44	189174.28	103683.66	164673.42	123564335000.0	1	1
45	170432.81	114329.37	157468.75	137218780000.0	1	1
46	8468.257	4948.1343	124159.01	161674330000.0	1	1
47	26629.555	39528.242	141144.89	159066280000.0	1	1
48	72640.45	12962.051	107328.94	122120210000.0	1	1
49	126536.88	180016.89	71748.4	133245620000.0	1	1
50	129668.734	97586.125	50629.156	112255844000.0	1	1
51	33339.395	77479.086	144797.19	142114230000.0	1	1
52	159939.77	125559.12	165389.19	42328890000.0	1	1
53	45917.336	55345.41	146292.94	82924570000.0	0	1
54	191436.33	107715.57	162085.05	50027782000.0	0	1
55	55204.62	137309.67	32113.99	47850336000.0	1	1
56	184610.36	59379.688	174005.06	85732100000.0	1	1
57	1710.0913	113872.4	193043.6	53390156000.0	0	1
58	155237.38	117542.04	187728.8	71897500000.0	1	1
59	51885.773	109653.6	133402.34	51481264000.0	1	1
60	47274.67	192022.77	101616.35	106091470000.0	0	1
61	167447.02	57227.27	65348.82	100352220000.0	1	1
62	80539.2	177025.84	53844.94	77590810000.0	1	0
63	84383.266	80673.81	53422.19	62546686000.0	1	1
64	86873.25	162664.69	9830.687	178965730000.0	1	1
65	166022.34	31572.469	160861.08	43704713000.0	1	1
66	41889.297	138695.14	167031.64	50567066000.0	1	1
67	59487.605	127484.34	69868.305	31140102000.0	1	1
68	37253.61	153476.72	75589.01	141590070000.0	1	0
69	175771.47	116115.1	164853.8	141197360000.0	0	1
70	109870.445	149288.25	201529.05	90128966000.0	1	0
71	46102.266	187664.81	100265.56	47625626000.0	1	1
72	171976.05	22435.07	161972.16	171693020000.0	1	1
73	140818.9	54618.805	12208.259	58409610000.0	1	0
74	157156.33	28896.36	88295.26	83532870000.0	1	1
75	97235.25	115604.2	201510.75	46423670000.0	1	1
76	181854.97	188848.38	169221.88	41237460000.0	1	1
77	68144.984	144499.67	135328.66	82199100000.0	1	0
78	190747.27	144839.67	181963.28	130986760000.0	1	1
79	116501.75	64407.133	35430.65	59796390000.0	1	1
80	138771.34	47898.95	160059.4	82430930000.0	1	1
81	107023.55	90714.086	105898.305	56494998000.0	0	1
82	47409.918	65188.305	143562.16	62215578000.0	0	1
84	80988.71	145024.86	105081.82	62987768000.0	1	1
85	59161.535	203399.89	73469.58	81890060000.0	1	1
86	35133.816	172701.16	38535.062	142852180000.0	1	1
87	35094.816	42757.277	134499.61	65399194000.0	1	1
88	151816.58	96927.0	178570.72	55796710000.0	1	1
89	101291.086	116535.77	23800.168	100861110000.0	1	1
90	178153.61	189588.55	134743.1	157093760000.0	1	1
91	17395.637	182539.95	56978.215	39828218000.0	1	1
92	47596.96	55130.016	64247.688	53673430000.0	1	1
93	2569.4421	91873.63	182592.4	65368195000.0	1	1
94	129319.625	147824.03	136837.66	86126510000.0	1	1
95	1487.4291	1980.7155	142992.8	28298758000.0	1	1
96	148612.92	26132.908	110435.14	87123870000.0	1	1
97	33658.375	40524.387	137785.42	49745564000.0	0	1
98	43657.508	188250.53	82324.65	44069286000.0	1	1
99	42966.598	189856.5	86598.695	35477066000.0	0	1
100	167325.7	167952.38	57737.535	79930760000.0	1	1
101	73605.734	45375.98	157951.81	235345150000.0	1	0
102	123977.19	58440.207	26573.604	93584240000.0	1	1
103	135596.4	44197.906	149528.78	27816411000.0	1	1
104	22948.58	177687.23	18564.812	109751110000.0	1	1
105	32368.148	110491.05	138418.34	79732910000.0	1	0
107	49791.42	184081.06	104016.83	68313596000.0	0	1
108	53755.066	51414.71	151560.33	28551027000.0	1	1
110	44537.934	78696.164	165143.55	74966510000.0	1	0
111	8388.756	172852.64	82575.7	40687174000.0	1	1
112	149252.1	133584.55	60606.824	33457180000.0	1	1
113	199651.89	149094.97	168790.02	120394260000.0	1	1
115	99157.17	12907.036	129769.8	61502775000.0	1	1
116	122264.875	81882.61	176490.5	101273180000.0	1	0
117	28159.898	92061.83	84248.69	90032144000.0	1	1
118	146596.58	88521.086	6664.161	54248428000.0	1	1
119	199914.02	106995.4	30352.389	72145980000.0	1	1
120	88933.164	153534.5	60863.684	64865747000.0	1	1
121	72318.586	177520.6	51954.566	101899220000.0	1	1
122	95082.375	190949.94	136040.33	27733000000.0	1	1
123	158885.47	102954.92	48846.332	43630630000.0	1	1
124	97869.83	26208.828	141984.56	20276802000.0	0	1
125	23852.807	103919.914	142469.84	43649716000.0	1	1
126	56849.35	30216.932	52187.742	138284250000.0	1	0
128	54304.855	203339.14	136843.98	60801552000.0	1	1
129	168985.02	183410.6	34021.414	43759804000.0	1	1
130	61875.31	180275.05	53208.203	132926220000.0	1	0
131	92324.5	1727.3191	51711.316	27385688000.0	1	1
132	89786.88	20861.035	127995.445	129461860000.0	1	1
133	186869.38	71681.68	173237.6	99224306000.0	1	1
134	24196.53	52450.84	188810.28	63091930000.0	1	1
136	144425.05	16910.283	144723.69	56824033000.0	1	1
137	94712.46	144526.81	38267.477	55517446000.0	1	1
138	128646.86	42282.06	39508.348	85045625000.0	1	1
140	188550.73	12162.066	105803.94	60169875000.0	1	1
141	197250.03	153001.94	186168.3	47370605000.0	1	1
142	31585.16	14180.852	134163.88	96026060000.0	1	1
143	198457.62	50785.94	47970.56	97968280000.0	1	1
144	125843.08	49747.69	21527.992	125034230000.0	1	0
145	51977.117	61917.21	14467.564	72336870000.0	1	0
146	102470.03	148679.22	136828.31	57024510000.0	1	1
147	69918.01	9404.86	188289.97	82883600000.0	1	0
148	77964.75	47501.996	130993.57	56740626000.0	1	1
149	52607.91	59252.293	140591.4	77681795000.0	1	0
150	70860.484	107398.695	62131.293	61055943000.0	1	1
152	85149.79	132888.06	196539.23	49671786000.0	1	1
153	46386.992	76589.33	151339.22	41509732000.0	1	1
154	202315.03	154026.5	161498.3	78695160000.0	0	1
155	52890.188	64663.207	204536.02	35167100000.0	1	1
156	149194.12	66312.086	78807.484	93269300000.0	1	0
157	47512.1	110364.03	186031.77	88222920000.0	1	0
158	44869.035	182851.73	66354.19	54729257000.0	1	1
159	152322.62	128268.164	168027.42	43449100000.0	0	1
160	8591.758	202479.28	4664.245	61072310000.0	1	1
161	103784.03	28557.191	57811.477	44905090000.0	0	1
162	177426.17	52717.27	54175.92	94481550000.0	0	1
163	52076.312	52352.043	204044.27	60567330000.0	1	0
164	52287.848	38920.0	164660.38	55253512000.0	1	0
165	135503.88	134400.05	78060.36	24589881000.0	1	1
166	185915.55	108121.65	191899.66	86603560000.0	1	1
167	54208.598	51029.664	55206.348	48726490000.0	0	1
168	182625.81	8087.148	3208.5596	88687460000.0	1	1
169	92507.664	78325.945	35382.23	33370917000.0	1	1
170	136418.56	160359.06	185883.64	75607140000.0	1	1
171	15756.895	6140.134	155401.23	133057225000.0	1	0
172	59849.152	19325.396	113658.02	49800393000.0	0	1
173	156080.55	126402.82	166732.62	55509807000.0	0	1
174	172762.39	53362.36	167188.03	57095467000.0	1	0
175	58968.234	29579.34	45373.46	51484942000.0	1	1
176	54818.6	135699.47	91902.086	34150347000.0	0	1
177	157659.81	100464.31	169705.52	39577920000.0	1	0
178	154658.61	63662.64	144599.34	78953490000.0	1	1
182	75535.484	39958.094	16559.209	70238290000.0	1	1
183	168807.64	185640.14	29013.0	37591486000.0	0	1
184	43365.59	21427.94	51585.266	35292717000.0	1	1
185	47690.2	110943.39	174639.22	78388580000.0	1	0
186	163979.19	50922.098	160294.47	117027120000.0	1	0
187	80005.76	109763.22	90398.11	60677976000.0	1	0
188	5584.9067	58628.58	43967.426	50723787000.0	0	1
189	163502.52	167634.75	63152.996	44702830000.0	0	1
190	3666.366	94376.3	186019.5	67746816000.0	0	1
192	121514.54	68549.99	199074.83	35673090000.0	0	1
193	114445.375	146718.0	74032.305	59505717000.0	1	0
198	179265.11	97739.93	163399.81	105549590000.0	0	1
199	113170.82	25221.18	124587.57	97104290000.0	1	0
200	100284.75	81022.9	60226.24	51651117000.0	1	0
203	164732.97	97140.09	37286.105	98183725000.0	1	0
204	129536.48	106157.984	83455.5	83529640000.0	1	1
205	104099.83	89936.63	109519.33	40175997000.0	1	0
208	143568.72	138937.44	34731.98	48363844000.0	0	1
209	146194.12	17923.408	113972.09	46312374000.0	1	0
210	163487.5	36914.598	188704.64	21858007000.0	1	0
211	7698.652	152593.56	95791.766	35685614000.0	0	1
213	180052.62	52875.258	53204.703	31562990000.0	1	0
214	127682.945	48854.215	25451.234	97010704000.0	1	0
215	58805.92	30946.14	58744.17	59790488000.0	1	0
216	109732.73	48451.625	176730.1	55228895000.0	1	0
217	98971.28	156109.48	154615.47	81920490000.0	1	0
220	123085.89	34292.523	130264.734	60960060000.0	1	0
221	133393.17	78355.75	12969.181	60060040000.0	1	0
223	73294.516	145023.62	107634.15	101260870000.0	1	0
231	115977.266	192802.52	130955.17	26588582000.0	1	0
233	194.11365	197835.03	201403.11	22214093000.0	1	0
236	79651.516	192897.62	122469.56	112809210000.0	1	0
239	133438.73	159286.23	122156.82	78357470000.0	1	0
240	168532.86	127143.23	157044.38	73646420000.0	1	0
243	18022.578	170845.88	14055.795	39146435000.0	1	0
249	62608.344	17023.53	125813.836	13088090000.0	1	0
