GroupID	GroupPos	GroupR200
0	[ 52104.383  79033.15  137240.   ]	1004.11566
1	[118539.664  65669.875 194496.83 ]	936.536
2	[ 40141.758  46890.72  147957.5  ]	1048.3232
3	[135942.47   31929.697  32333.105]	1041.7998
4	[101909.82  21407.7  137475.97]	936.8835
6	[177766.44    77747.15     1126.1403]	807.136
7	[ 83544.59 142774.6  152662.28]	892.57874
8	[59558.164  9446.169 97155.66 ]	884.395
9	[106026.125    4034.5503  27995.428 ]	779.3833
10	[49044.383 48373.93  62107.06 ]	835.0698
11	[ 99997.65  201815.84   32008.156]	807.2216
13	[ 49900.453  28904.666 177750.17 ]	752.2559
14	[54870.48   47841.527   5405.3057]	802.6614
15	[43395.793 88826.234 81985.38 ]	822.6651
17	[149503.77 179300.78  89183.61]	791.28723
22	[92183.69   30716.375   6796.5557]	799.47766
23	[ 46394.01   48655.367 151390.05 ]	812.07996
25	[ 47858.06  40400.03 158852.94]	767.0739
28	[159956.89  126573.625 165794.23 ]	753.376
30	[79833.72 72973.73 49297.29]	758.3116
31	[ 59616.89  127174.85   69216.266]	777.9494
32	[ 97486.56   26613.723 142137.17 ]	760.0955
34	[149675.   134052.38  60828.13]	760.9892
36	[ 54901.586 137094.84   31716.938]	760.6005
37	[171805.88  67189.93 166348.88]	750.03894
41	[93485.695   1650.5718 52373.99  ]	753.87445
