GroupID	iscen	GroupPos	GroupM200
96.0	1.0	[148612.92   26132.908 110435.14 ]	207365000000000.0
56.0	1.0	[184610.36   59379.688 174005.06 ]	235066700000000.0
377.0	1.0	[ 33844.016 104707.85  162689.28 ]	141371300000000.0
85.0	1.0	[ 59161.535 203399.89   73469.58 ]	183994030000000.0
104.0	1.0	[ 22948.58  177687.23   18564.812]	214734720000000.0
337.0	1.0	[ 69330.98 171524.95 197349.28]	228157070000000.0
397.0	1.0	[151093.12  173762.42   68416.414]	228585860000000.0
178.0	1.0	[154658.61  63662.64 144599.34]	137743800000000.0
1255.0	1.0	[ 61280.703 129689.01   76174.195]	179395750000000.0
223.0	1.0	[ 73294.516 145023.62  107634.15 ]	121944720000000.0
126.0	1.0	[56849.35  30216.932 52187.742]	124328610000000.0
90.0	1.0	[178153.61 189588.55 134743.1 ]	157096720000000.0
78.0	0.0	[190747.27 144839.67 181963.28]	137608085000000.0
249.0	1.0	[ 62608.344  17023.53  125813.836]	201667340000000.0
118.0	1.0	[146596.58   88521.086   6664.161]	187167020000000.0
61.0	1.0	[167447.02  57227.27  65348.82]	199525520000000.0
113.0	1.0	[199651.89 149094.97 168790.02]	188158050000000.0
66.0	1.0	[ 41889.297 138695.14  167031.64 ]	164342310000000.0
105.0	1.0	[ 32368.148 110491.05  138418.34 ]	180591530000000.0
537.0	1.0	[151971.03 158442.56 165097.27]	152773210000000.0
68.0	1.0	[ 37253.61 153476.72  75589.01]	200451360000000.0
668.0	1.0	[183317.42  117745.24   16720.277]	179024270000000.0
376.0	1.0	[98911.8   26245.217 15182.442]	127064950000000.0
305.0	1.0	[190753.8  189520.56  86519.83]	198077720000000.0
177.0	1.0	[157659.81 100464.31 169705.52]	221948200000000.0
76.0	1.0	[181854.97 188848.38 169221.88]	192892570000000.0
89.0	1.0	[101291.086 116535.77   23800.168]	170198600000000.0
37.0	1.0	[105200.67     5206.3174  29447.318 ]	203439880000000.0
168.0	1.0	[182625.81     8087.148    3208.5596]	166784550000000.0
64.0	1.0	[ 86873.25  162664.69    9830.687]	201308740000000.0
505.0	0.0	[60208.734 15135.433  5805.749]	178725420000000.0
110.0	1.0	[ 44537.934  78696.164 165143.55 ]	135592660000000.0
400.0	1.0	[131227.23    55562.004    3290.1306]	188105840000000.0
120.0	1.0	[ 88933.164 153534.5    60863.684]	201790500000000.0
55.0	1.0	[ 55204.62 137309.67  32113.99]	167641160000000.0
827.0	1.0	[183876.2  105009.77 197244.27]	112128930000000.0
73.0	1.0	[140818.9    54618.805  12208.259]	164261330000000.0
103.0	1.0	[135596.4    44197.906 149528.78 ]	185050360000000.0
95.0	1.0	[  1487.4291   1980.7155 142992.8   ]	179053480000000.0
75.0	1.0	[ 97235.25 115604.2  201510.75]	198890700000000.0
707.0	1.0	[126725.195  82147.56   10614.599]	174660480000000.0
182.0	1.0	[75535.484 39958.094 16559.209]	163210230000000.0
496.0	0.0	[ 63692.02   13475.913 107127.63 ]	127507050000000.0
148.0	1.0	[ 77964.75   47501.996 130993.57 ]	173721040000000.0
436.0	1.0	[ 18209.27  198028.19   56540.258]	156064730000000.0
214.0	1.0	[127682.945  48854.215  25451.234]	146933050000000.0
115.0	1.0	[ 99157.17   12907.036 129769.8  ]	160620350000000.0
1300.0	1.0	[  7042.0522   2557.2769 153117.9   ]	114362086000000.0
260.0	1.0	[ 83256.32  198361.94   42456.734]	146151140000000.0
142.0	1.0	[ 31585.16   14180.852 134163.88 ]	177805840000000.0
62.0	0.0	[ 80539.2  177025.84  53844.94]	155587980000000.0
140.0	1.0	[188550.73   12162.066 105803.94 ]	167491020000000.0
