GroupID	iscen	GroupPos	GroupM200
2.0	1.0	[ 40141.758  46890.72  147957.5  ]	1535790000000000.0
26.0	1.0	[ 78965.945 126201.516 197485.55 ]	1307340100000000.0
1.0	1.0	[118539.664  65669.875 194496.83 ]	1033314400000000.0
226.0	1.0	[84081.82  80530.47  53386.652]	899670200000000.0
3.0	1.0	[135942.47   31929.697  32333.105]	841819700000000.0
0.0	1.0	[ 52104.383  79033.15  137240.   ]	733527400000000.0
65.0	1.0	[169445.77 114736.12 156060.84]	459285180000000.0
216.0	1.0	[197773.67 115249.73 202432.12]	581220700000000.0
29.0	1.0	[ 44594.086 186853.06  101072.   ]	398251600000000.0
8.0	1.0	[59558.164  9446.169 97155.66 ]	641211640000000.0
106.0	1.0	[ 40621.582  96434.336 114147.2  ]	635853500000000.0
198.0	1.0	[202437.64 118399.45 196153.78]	547336940000000.0
167.0	0.0	[167554.45  167921.12   56791.902]	655181560000000.0
19.0	1.0	[203660.5  103225.8  188482.03]	553877340000000.0
4.0	1.0	[101909.82  21407.7  137475.97]	437283200000000.0
56.0	1.0	[ 96378.93 106355.13  81683.41]	497315970000000.0
28.0	0.0	[159956.89  126573.625 165794.23 ]	379204240000000.0
47.0	0.0	[168829.45 175498.44 105649.15]	416661500000000.0
172.0	1.0	[ 16686.826 168725.98   14549.136]	407155200000000.0
137.0	1.0	[188443.97  102970.266 164149.66 ]	467371870000000.0
3858.0	1.0	[ 74773.08  45939.37 157791.97]	431286800000000.0
7.0	0.0	[ 83544.59 142774.6  152662.28]	382146100000000.0
604.0	1.0	[157570.2    28366.014  88708.234]	360359570000000.0
207.0	1.0	[ 12068.746 125977.625 197129.52 ]	392225500000000.0
346.0	1.0	[144366.89  57952.94 137438.3 ]	367364900000000.0
25.0	1.0	[ 47858.06  40400.03 158852.94]	219906720000000.0
24.0	1.0	[ 53484.402 177471.75  106737.336]	278377270000000.0
22.0	1.0	[92183.69   30716.375   6796.5557]	456104500000000.0
78.0	1.0	[ 17291.816 182546.     56807.22 ]	471019470000000.0
83.0	0.0	[ 87281.83  191853.39   66795.664]	212362410000000.0
397.0	1.0	[ 56020.977  59181.04  140460.88 ]	389327340000000.0
229.0	1.0	[150089.84  96135.41 177739.03]	390177380000000.0
21.0	0.0	[116211.09  64345.97  35845.07]	390393740000000.0
486.0	1.0	[ 32496.164  77964.24  143535.23 ]	369590800000000.0
168.0	1.0	[ 23908.898  38758.47  141246.27 ]	367825830000000.0
10.0	1.0	[49044.383 48373.93  62107.06 ]	381228080000000.0
231.0	1.0	[ 34214.812  41288.887 131674.9  ]	374208000000000.0
255.0	1.0	[146550.55   92113.805  65249.65 ]	197666880000000.0
84.0	1.0	[ 95162.58 189344.28 135957.61]	128062120000000.0
94.0	1.0	[ 83108.09 145429.06 105686.25]	334133460000000.0
245.0	1.0	[  7681.1387   3506.127  123447.484 ]	235068090000000.0
109.0	1.0	[26482.635 93019.305 83396.87 ]	357260800000000.0
128.0	1.0	[109172.58 151676.55 201719.5 ]	198878730000000.0
15.0	1.0	[43395.793 88826.234 81985.38 ]	343380720000000.0
20.0	1.0	[177492.27   28873.646 158736.66 ]	332506200000000.0
179.0	1.0	[81044.81  35194.902  9955.803]	305942900000000.0
248.0	1.0	[168057.58  184105.31   32612.904]	176415710000000.0
3651.0	1.0	[128678.46   42615.348  40365.883]	183143580000000.0
14.0	1.0	[54870.48   47841.527   5405.3057]	324151500000000.0
367.0	1.0	[198661.33 153377.39 186102.77]	324038740000000.0
209.0	1.0	[159148.72 103284.17  51548.23]	338210600000000.0
67.0	1.0	[ 52111.28 143856.56  79985.48]	316146540000000.0
33.0	1.0	[  2555.4617  90334.086  181623.06  ]	275655180000000.0
559.0	1.0	[ 22080.588  52481.64  189039.72 ]	184230530000000.0
12.0	0.0	[ 17224.07 140023.64  99012.38]	314248660000000.0
847.0	1.0	[ 80086.32   17446.982 144719.42 ]	242969400000000.0
48.0	1.0	[104353.8    90883.086 110615.516]	296168330000000.0
11.0	1.0	[ 99997.65  201815.84   32008.156]	301115830000000.0
13.0	1.0	[ 49900.453  28904.666 177750.17 ]	279208860000000.0
102.0	1.0	[47876.766 56684.65  65513.82 ]	213580420000000.0
			290497800000000.0
615.0	1.0	[149240.81  19198.55  76185.18]	255725190000000.0
195.0	1.0	[ 2599.2566  5844.858  44842.04  ]	174374600000000.0
232.0	0.0	[145051.08   14953.464 145334.17 ]	282242000000000.0
187.0	1.0	[ 56417.535 186777.06   64131.434]	279798240000000.0
235.0	1.0	[ 22133.73 108572.1  180951.97]	227894860000000.0
105.0	0.0	[ 23029.123 105306.086 143020.22 ]	243409720000000.0
17.0	1.0	[149503.77 179300.78  89183.61]	278848860000000.0
40.0	1.0	[60154.734 46107.176 29656.797]	276792940000000.0
6.0	1.0	[177766.44    77747.15     1126.1403]	269337870000000.0
64.0	1.0	[129593.62  99285.23  50664.3 ]	258570540000000.0
316.0	1.0	[146950.12 131937.89 152603.25]	276122960000000.0
178.0	1.0	[145945.6    15996.808 111949.516]	275153240000000.0
538.0	1.0	[90995.3   79591.06  34927.832]	205733010000000.0
117.0	1.0	[173734.19  53257.54 166972.39]	205864170000000.0
104.0	1.0	[ 42576.3  187797.61  82523.61]	134628690000000.0
369.0	1.0	[165901.55   29581.352 160702.97 ]	236042040000000.0
60.0	1.0	[ 71944.73  108535.86   62221.074]	230889560000000.0
86.0	1.0	[150319.73   52780.676 162134.56 ]	260628930000000.0
37.0	1.0	[171805.88  67189.93 166348.88]	253893450000000.0
43.0	1.0	[ 55158.645 137424.36   51252.   ]	193627100000000.0
162.0	1.0	[59078.355 31325.584 59782.3  ]	272367580000000.0
380.0	1.0	[ 75164.61  11593.44 106174.66]	135533790000000.0
295.0	1.0	[31518.176  70589.03    2138.5996]	128114510000000.0
74.0	1.0	[138050.38   47460.312 161635.11 ]	158344470000000.0
2004.0	1.0	[123424.76   33486.664 128531.94 ]	123098060000000.0
166.0	1.0	[185701.02 108094.72 191338.22]	192014670000000.0
30.0	0.0	[79833.72 72973.73 49297.29]	223381030000000.0
410.0	1.0	[ 48298.133 112824.195 174195.23 ]	103673405000000.0
63.0	1.0	[ 54667.766  38686.977 165334.4  ]	239398220000000.0
145.0	1.0	[153634.77  118572.414 188119.47 ]	164138570000000.0
875.0	1.0	[149909.05  26231.22 109256.7 ]	207365000000000.0
88.0	1.0	[185358.47   58826.832 173587.98 ]	235066700000000.0
261.0	1.0	[ 33353.383 106768.65  161609.03 ]	141371300000000.0
131.0	1.0	[ 57751.348 203652.     72677.93 ]	183994030000000.0
557.0	1.0	[ 23185.607 178642.78   19241.818]	214734720000000.0
197.0	1.0	[ 69064.8  172986.52 197149.08]	228157070000000.0
550.0	1.0	[150942.17 173380.83  68022.4 ]	228585860000000.0
331.0	1.0	[155833.22  64441.25 143497.03]	137743800000000.0
327.0	1.0	[ 62307.254 128404.99   75364.63 ]	179395750000000.0
2840.0	1.0	[ 74429.87  145734.9   107033.484]	121944720000000.0
223.0	1.0	[56064.17  29414.738 52356.58 ]	124328610000000.0
359.0	1.0	[177989.12 189697.5  133801.06]	157096720000000.0
431.0	1.0	[190101.77 146490.89 180878.2 ]	137608085000000.0
68.0	0.0	[ 62145.918  15773.725 127235.68 ]	201667340000000.0
66.0	0.0	[146771.56    88799.31     4919.0386]	187167020000000.0
402.0	1.0	[167891.69  58412.96  64455.55]	199525520000000.0
260.0	1.0	[199757.89 151533.03 167384.58]	188158050000000.0
53.0	1.0	[ 41770.44 140411.22 165660.02]	164342310000000.0
600.0	1.0	[ 31707.72 111296.78 138927.12]	180591530000000.0
11257.0	1.0	[152716.77 159169.73 165247.69]	152773210000000.0
707.0	0.0	[ 36343.414 153819.69   74677.1  ]	200451360000000.0
812.0	1.0	[183513.27 120443.13  18373.09]	179024270000000.0
183.0	1.0	[99770.414 24687.318 15272.848]	127064950000000.0
584.0	1.0	[191413.6  189949.61  85059.41]	198077720000000.0
479.0	1.0	[156119.86 100413.13 167220.22]	221948200000000.0
130.0	1.0	[181197.55 188376.33 170889.22]	192892570000000.0
154.0	1.0	[101378.67 117636.07  25025.34]	170198600000000.0
9.0	1.0	[106026.125    4034.5503  27995.428 ]	203439880000000.0
141.0	1.0	[180985.27     8565.656    4211.8833]	166784550000000.0
69.0	1.0	[ 87653.96  163560.5     9331.195]	201308740000000.0
593.0	0.0	[60181.695 15077.929  6035.363]	178725420000000.0
116.0	1.0	[ 45530.727  79082.07  167314.31 ]	135592660000000.0
396.0	1.0	[132286.25    55527.266    2868.7686]	188105840000000.0
49.0	0.0	[ 90334.06  152818.83   61147.426]	201790500000000.0
36.0	1.0	[ 54901.586 137094.84   31716.938]	167641160000000.0
4284.0	1.0	[182860.06 104966.92 196907.45]	112128930000000.0
180.0	1.0	[142094.6    52969.367  11817.868]	164261330000000.0
243.0	1.0	[135370.7    44595.562 148655.05 ]	185050360000000.0
38.0	1.0	[204994.55     1081.5936 143079.98  ]	179053480000000.0
99.0	1.0	[ 98684.81  116121.875 201055.25 ]	198890700000000.0
371.0	0.0	[126769.16   82906.71   11140.755]	174660480000000.0
580.0	0.0	[74040.75  40616.992 15943.381]	163210230000000.0
4476.0	1.0	[ 63240.76  15299.94 106690.32]	127507050000000.0
213.0	1.0	[ 79531.86   46793.78  130346.695]	173721040000000.0
1627.0	1.0	[ 17352.053 199192.34   56632.37 ]	156064730000000.0
1728.0	1.0	[129712.57   49597.04   25141.934]	146933050000000.0
95.0	1.0	[100194.836  11756.649 129736.15 ]	160620350000000.0
3759.0	1.0	[  6074.223    2395.2673 154293.05  ]	114362086000000.0
230.0	0.0	[ 82165.29  197609.14   41282.273]	146151140000000.0
583.0	1.0	[ 33303.848  13050.268 132951.06 ]	177805840000000.0
190.0	1.0	[ 83761.1   176819.2    54318.766]	155587980000000.0
164.0	1.0	[187726.98   12482.888 104339.11 ]	167491020000000.0
79.0	1.0	[125875.67 180110.17  70878.2 ]	187930800000000.0
58.0	1.0	[135659.94 135146.12  78578.23]	122913480000000.0
46.0	0.0	[ 54054.75   65163.883 204139.62 ]	134479010000000.0
139.0	1.0	[181009.52   52075.594  52539.62 ]	177005770000000.0
103.0	1.0	[ 89232.95   20020.861 128328.68 ]	163909500000000.0
658.0	1.0	[158838.83 188636.06 159406.92]	140163565000000.0
285.0	1.0	[1.8489831e+05 1.1065312e+05 6.8673637e+01]	187111840000000.0
265.0	1.0	[ 52137.195 111342.35  133049.55 ]	178474010000000.0
96.0	1.0	[103007.195 149494.67  136998.48 ]	170201620000000.0
100.0	1.0	[168551.12 129048.59 155790.73]	111486940000000.0
4449.0	1.0	[182832.34 139425.61 195939.  ]	176244920000000.0
246.0	1.0	[ 62577.254 180397.22   53069.508]	169744320000000.0
212.0	1.0	[  8375.301  202384.56     5202.5786]	171195450000000.0
54.0	1.0	[124902.6    57909.906  26523.244]	170170280000000.0
498.0	1.0	[181333.56   40313.99   84292.555]	137401440000000.0
520.0	1.0	[128769.43 147194.62 136941.53]	176176590000000.0
